n,lambda_n,lambda_n_over_n,half_log_n
365,646.504274312114,1.7712445871564768,2.9499486767912457
366,648.7452644521254,1.7725280449511622,2.951316666700683
367,650.9945909048785,1.7738272231740557,2.9526809240272853
368,653.2519121892145,1.7751410657315612,2.9540414690844656
369,655.516852393449,1.7764684346705935,2.9553983220202635
370,657.7890034717905,1.7778081174913256,2.956751502819135
371,660.0679277000165,1.779158834770934,2.9581010313037175
372,662.3531602771496,1.780519248056854,2.959446927136573
373,664.6442120591533,1.7818879679870063,2.960789209821908
374,666.9405724100183,1.7832635625936317,2.962127898707266
375,669.2417121550334,1.7846445657467558,2.9634630129852053
376,671.5470866205421,1.7860294856929313,2.9647945716949473
377,673.8561387440641,1.7874168136447324,2.9661225937240054
378,676.1683022383321,1.7888050323765399,2.967447097809794
379,678.4830047925439,1.7901926247824376,2.968768102541213
380,680.7996712939657,1.7915780823525413,2.970085626360216
381,683.1177270529473,1.792959913524796,2.9713996875633506
382,685.4366010144146,1.7943366518701953,2.9727103043032876
383,687.7557289390078,1.7957068640705165,2.974017494590323
384,690.0745565372067,1.797069157648976,2.9753212762938634
385,692.3925425400627,1.7984221884157472,2.9766216671438923
386,694.7091616904949,1.7997646675919556,2.9779186847324155
387,697.0239076395471,1.8010953685776412,2.979212346514891
388,699.3362957325166,1.8024131333312285,2.980502669811637
389,701.6458656704451,1.8037168783301931,2.981789671809223
390,703.9521840331308,1.8050056000849508,2.983073369561846
391,706.254846650555,1.8062783801804476,2.984353779992683
392,708.5534808104069,1.8075343898224665,2.985630919895231
393,710.8477472902628,1.8087728938683532,2.9869048059346306
394,713.1373422038855,1.8099932543245825,2.988175454648967
395,715.4219986520944,1.8111949332964417,2.989442882450561
396,717.7014881696634,1.812377495377938,2.9907071056272403
397,719.9756219607871,1.8135406094730153,2.9919681403435954
398,722.2442519167402,1.8146840500420607,2.993226002642219
399,724.5072714105036,1.8158076977706856,2.994480708444932
400,726.7646158642851,1.8169115396607127,2.995732273553991
401,729.016263087047,1.817995668546252,2.9969807136532847
402,731.2622333803454,1.81906028204066,2.9982260443095106
403,733.5025894119984,1.8201056809230731,2.9994682809733413
404,735.7374358582985,1.8211322669759862,3.0007074389805752
405,737.9669188166912,1.8221405402881263,3.0019435335532694
406,740.1912249920389,1.8231310960395046,3.0031765798008663
407,742.4105806607558,1.824104620788098,3.0044065927212973
408,744.6252504182653,1.825061888280062,3.0056335872020807
409,746.8355357163506,1.826003754807703,3.006857578021401
410,749.0417731980651,1.8269311541416222,3.008078579849177
411,751.2443328389234,1.827845092065507,3.009296607248117
412,753.4436159041007,1.8287466405439339,3.0105116746747633
413,755.6400527323293,1.8296369315552767,3.0117237964805166
414,757.834100358087,1.8305171506233984,3.012932986912657
415,760.0262399845122,1.831388530083162,3.014139260115349
416,762.2169743202714,1.832252342116037,3.0153426301306316
417,764.4068247943067,1.8331098915930615,3.0165431108994007
418,766.5963286630459,1.8339625087632678,3.017740716262378
419,768.7860360252212,1.8348115418263036,3.0189354599610687
420,770.9765067599277,1.8356583494283993,3.020127355638707
421,773.1683074039786,1.8365042931210893,3.0213164168411906
422,775.3620079849226,1.8373507298220915,3.022502657018006
423,777.5581788263586,1.8381990043176326,3.0236860895231388
424,779.7573873423175,1.8390504418450886,3.024866727615979
425,781.9601948375768,1.8399063407942982,3.0260445844622086
426,784.1671533307468,1.8407679655651334,3.0272196731346854
427,786.3788024168769,1.8416365396179786,3.0283920066143124
428,788.595666186141,1.842513238752666,3.0295615977908983
429,790.8182502149001,1.8433991846501168,3.0307284594640085
430,793.0470386450743,1.844295438709475,3.031892604343804
