x,M_x,abs_M_over_sqrt_x
61316,-57,0.23019079238808493
63037,-44,0.1752487416573377
64807,-5,0.01964079421624086
66626,25,0.09685412867073219
68496,42,0.16047843674938908
70419,64,0.2411765327290799
72396,38,0.1412297892162422
74429,44,0.161280397250369
76518,6,0.02169049410911882
78666,-2,0.007130770543316361
80875,6,0.02109813677981063
83145,-44,0.15259299868782217
85479,27,0.09234939353772839
87879,20,0.06746638534142185
90346,4,0.013307777366513042
92882,-46,0.15093572754739557
95490,-118,0.38185902614000244
98171,-66,0.21064556903660342
100927,2,0.0062954432524442785
103760,6,0.018626714965571233
106673,-23,0.07042073952034351
109668,-6,0.018118043110618293
112746,49,0.14593031118212127
115911,82,0.24085270381069562
119165,122,0.35341540174143316
122511,39,0.11142356885002536
125950,10,0.02817739979962741
129486,13,0.036127003798285
133121,-45,0.12333582071539245
136858,-51,0.13785898656535095
140700,-103,0.27459345150698483
144650,-52,0.1367238013547603
148711,-42,0.10891250409830866
152886,-95,0.24296277888043022
157178,-47,0.11855011477349855
161590,-41,0.10199446781477105
166127,51,0.12512672129840127
170790,100,0.24197404290086386
175585,114,0.27205777717284
180514,72,0.16946384325925448
185582,44,0.10213738890033491
190792,56,0.12820588080126505
196148,-2,0.004515834878192869
201655,12,0.026722479260363082
207316,-29,0.06369151618710694
213136,-27,0.058483769756878724
219119,-6,0.012817733324535016
225271,-64,0.13484266602095804
231595,-123,0.2555880366920509
238096,-28,0.05738283247691524
244780,-15,0.030318191643059288
251652,-24,0.04784218967868876
258717,-39,0.07667470675804078
265980,13,0.02520686651008187
273447,-26,0.04972064643715455
281123,42,0.07921384623850912
289015,131,0.24367507250041345
297129,158,0.2898575161293001
305470,171,0.30939395772335204
314046,101,0.1802290280818236
322862,-20,0.03519828709591824
331926,-121,0.2100219730540995
341244,-175,0.29957497839539926
350824,-245,0.41363895891677244
360673,-146,0.24310620266581764
370798,-60,0.09853319354816183
381208,26,0.04211068877276785
391910,45,0.07188186578097722
402912,21,0.033083709109387904
414223,141,0.2190796345483046
425851,128,0.1961467578321817
437806,-48,0.07254381364430651
450097,48,0.07154646457653221
462733,211,0.3101824479179357
475723,42,0.06089367933577095
489078,22,0.03145818173503905
502808,-25,0.03525647747789754
516924,-68,0.09457918439924909
531435,-100,0.13717498560727975
546355,1,0.0013528901631743955
561692,16,0.021348671934172878
577461,-89,0.11711935644917687
593672,-172,0.22323133873176657
610339,-208,0.2662427399713845
627473,-85,0.10730535711292798
645088,74,0.0921344904128045
663198,201,0.24681665004782097
681816,149,0.18044824982164118
700957,205,0.24485454650890948
720635,122,0.1437150184772015
740865,53,0.0615752707954333
761664,65,0.07447862359534956
783046,-29,0.03277210670133543
805029,-46,0.051268672092273725
827628,-226,0.24842245629297566
850863,-156,0.16911992564622422
874749,-84,0.08981265990801594
899306,-243,0.2562433055566959
924553,-309,0.32136055839659144
950508,-132,0.13539294751468972
977192,44,0.04451052584577754
1004625,186,0.18557136126886684
1032828,117,0.11512558768555119
1061822,372,0.36100821129016036
1091631,233,0.2230067409549715
1122277,52,0.04908551052771367
1153783,69,0.06423726218513434
1186173,-161,0.1478263517292108
1219473,-89,0.08059422288899153
1253707,-39,0.034831051201045966
1288903,-197,0.17352262498241147
1325087,-130,0.11293307556507795
1362286,32,0.027416741139283312
1400530,-232,0.1960386832861008
1439847,-111,0.09250491445412404
1480269,-76,0.062465938630755016
1521825,-246,0.19941267070423557
1564547,8,0.006395811858651198
1608469,108,0.08515642247377916
1653624,242,0.18819019079574284
1700046,97,0.07439459740986219
1747772,286,0.216333434104059
1796838,525,0.39165605183617136
1847281,330,0.2427993155844306
1899140,13,0.009433326403779276
1952455,-211,0.1510052124764303
2007267,-301,0.21245351618606492
2063617,-256,0.1782072698618953
2121550,-353,0.24235281559882307
2181108,-328,0.22209319833657806
2242339,-189,0.1262150573408547
2305289,-216,0.14226270499710428
2370006,281,0.18252888344264498
2436540,381,0.24408337678208447
2504941,373,0.23567313621381333
2575263,271,0.16887233047686212
2647559,170,0.10447830010461141
2721884,-46,0.027881942377988165
2798296,281,0.16798074153042367
2876854,-174,0.10258652934946295
2957616,-7,0.004070306809759511
3040646,322,0.18466004667805136
3126007,57,0.03223887531290377
3213764,-546,0.30456896812527784
3303985,-552,0.30368269456675245
3396738,-359,0.19478854952817504
3492095,-238,0.12736025857311942
3590130,154,0.08127661978233552
3690916,23,0.011971835901810448
3794532,156,0.08008395049990404
3901057,158,0.0799955703086574
4010572,227,0.1133503064148406
4123162,195,0.09603276028263424
4238913,324,0.15736848311061405
4357913,522,0.25005251389008715
4480253,253,0.11952788957475638
4606028,264,0.12301006274273482
4735334,-77,0.03538469176187842
4868271,-244,0.11058658664568875
5004939,-631,0.2820525074116333
5145443,-419,0.18471520114385523
5289893,-715,0.3108727092200465
5438397,-499,0.21397601334958685
5591070,-72,0.030449841167619708
5748030,408,0.1701769164136182
5909395,390,0.160432775479836
6075291,190,0.07708503225169296
6245844,334,0.13364444149309002
6421185,728,0.2872921689285004
6601449,680,0.2646605900945534
6786773,400,0.1535424017335775
6977299,-357,0.13515264484246642
7173174,-764,0.2852578967372245
7374549,-637,0.23456958501339012
7581576,-125,0.04539732535821573
7794415,93,0.03331126964000261
8013230,-274,0.09679362585582303
8238187,-163,0.05678998859640439
8469459,226,0.07765699911267507
8707224,-671,0.22739591654299654
8951664,-509,0.17012412167790825
9202966,-389,0.12822883381066993
9461323,-64,0.02080673995907425
9726933,258,0.08272404148784951
10000000,1037,0.32792819335946094
